CourseID,CourseCode,LecturerID,LevelText,LevelGroupID,Department,Semester
1,"CSC101",2,"100",1,"Computer Science","First"
2,"CSC103",17,"100",1,"Computer Science","First"
3,"CSC105",17,"100",1,"Computer Science","First"
4,"CSC107",14,"100",1,"Computer Science","First"
5,"CSC102",4,"100",1,"Computer Science","Second"
6,"CSC104",14,"100",1,"Computer Science","Second"
7,"CSC106",25,"100",1,"Computer Science","Second"
8,"CSC108",25,"100",1,"Computer Science","Second"
9,"CSC101",15,"100",2,"Electrical Engineering","First"
10,"CSC103",14,"100",2,"Electrical Engineering","First"
11,"CSC105",25,"100",2,"Electrical Engineering","First"
12,"CSC107",9,"100",2,"Electrical Engineering","First"
13,"CSC102",21,"100",2,"Electrical Engineering","Second"
14,"CSC104",21,"100",2,"Electrical Engineering","Second"
15,"CSC106",4,"100",2,"Electrical Engineering","Second"
16,"CSC108",20,"100",2,"Electrical Engineering","Second"
17,"CSC101",25,"100",3,"Mechanical Engineering","First"
18,"CSC103",21,"100",3,"Mechanical Engineering","First"
19,"CSC105",14,"100",3,"Mechanical Engineering","First"
20,"CSC107",2,"100",3,"Mechanical Engineering","First"
21,"CSC102",10,"100",3,"Mechanical Engineering","Second"
22,"CSC104",14,"100",3,"Mechanical Engineering","Second"
23,"CSC106",4,"100",3,"Mechanical Engineering","Second"
24,"CSC108",17,"100",3,"Mechanical Engineering","Second"
25,"CSC201",11,"200",4,"Computer Science","First"
26,"CSC203",4,"200",4,"Computer Science","First"
27,"CSC205",4,"200",4,"Computer Science","First"
28,"CSC202",22,"200",4,"Computer Science","Second"
29,"CSC204",22,"200",4,"Computer Science","Second"
30,"CSC206",10,"200",4,"Computer Science","Second"
31,"CSC201",22,"200",5,"Electrical Engineering","First"
32,"CSC203",1,"200",5,"Electrical Engineering","First"
33,"CSC205",22,"200",5,"Electrical Engineering","First"
34,"CSC202",17,"200",5,"Electrical Engineering","Second"
35,"CSC204",9,"200",5,"Electrical Engineering","Second"
36,"CSC206",16,"200",5,"Electrical Engineering","Second"
37,"CSC201",21,"200",6,"Mechanical Engineering","First"
38,"CSC203",21,"200",6,"Mechanical Engineering","First"
39,"CSC205",18,"200",6,"Mechanical Engineering","First"
40,"CSC202",14,"200",6,"Mechanical Engineering","Second"
41,"CSC204",12,"200",6,"Mechanical Engineering","Second"
42,"CSC206",12,"200",6,"Mechanical Engineering","Second"
43,"CSC201",25,"200",7,"Computer Science","First"
44,"CSC203",18,"200",7,"Computer Science","First"
45,"CSC205",14,"200",7,"Computer Science","First"
46,"CSC202",10,"200",7,"Computer Science","Second"
47,"CSC204",10,"200",7,"Computer Science","Second"
48,"CSC206",17,"200",7,"Computer Science","Second"
49,"CSC301",11,"300",8,"Computer Science","First"
50,"CSC303",5,"300",8,"Computer Science","First"
51,"CSC305",12,"300",8,"Computer Science","First"
52,"CSC307",8,"300",8,"Computer Science","First"
53,"CSC302",22,"300",8,"Computer Science","Second"
54,"CSC304",11,"300",8,"Computer Science","Second"
55,"CSC306",16,"300",8,"Computer Science","Second"
56,"CSC308",3,"300",8,"Computer Science","Second"
57,"CSC301",1,"300",9,"Electrical Engineering","First"
58,"CSC303",13,"300",9,"Electrical Engineering","First"
59,"CSC305",5,"300",9,"Electrical Engineering","First"
60,"CSC307",6,"300",9,"Electrical Engineering","First"
61,"CSC302",16,"300",9,"Electrical Engineering","Second"
62,"CSC304",16,"300",9,"Electrical Engineering","Second"
63,"CSC306",16,"300",9,"Electrical Engineering","Second"
64,"CSC308",23,"300",9,"Electrical Engineering","Second"
65,"CSC301",22,"300",10,"Mechanical Engineering","First"
66,"CSC303",12,"300",10,"Mechanical Engineering","First"
67,"CSC305",1,"300",10,"Mechanical Engineering","First"
68,"CSC307",23,"300",10,"Mechanical Engineering","First"
69,"CSC302",5,"300",10,"Mechanical Engineering","Second"
70,"CSC304",19,"300",10,"Mechanical Engineering","Second"
71,"CSC306",6,"300",10,"Mechanical Engineering","Second"
72,"CSC308",23,"300",10,"Mechanical Engineering","Second"
73,"CSC401",23,"400",11,"Computer Science","First"
74,"CSC403",3,"400",11,"Computer Science","First"
75,"CSC405",6,"400",11,"Computer Science","First"
76,"CSC407",6,"400",11,"Computer Science","First"
77,"CSC409",3,"400",11,"Computer Science","First"
78,"CSC402",3,"400",11,"Computer Science","Second"
79,"CSC404",19,"400",11,"Computer Science","Second"
80,"CSC406",3,"400",11,"Computer Science","Second"
81,"CSC408",24,"400",11,"Computer Science","Second"
82,"CSC410",6,"400",11,"Computer Science","Second"
83,"CSC401",5,"400",12,"Electrical Engineering","First"
84,"CSC403",6,"400",12,"Electrical Engineering","First"
85,"CSC405",8,"400",12,"Electrical Engineering","First"
86,"CSC407",19,"400",12,"Electrical Engineering","First"
87,"CSC409",5,"400",12,"Electrical Engineering","First"
88,"CSC402",3,"400",12,"Electrical Engineering","Second"
89,"CSC404",23,"400",12,"Electrical Engineering","Second"
90,"CSC406",7,"400",12,"Electrical Engineering","Second"
91,"CSC408",6,"400",12,"Electrical Engineering","Second"
92,"CSC410",6,"400",12,"Electrical Engineering","Second"
93,"CSC501",19,"500",13,"Computer Science","First"
94,"CSC503",23,"500",13,"Computer Science","First"
95,"CSC505",5,"500",13,"Computer Science","First"
96,"CSC507",8,"500",13,"Computer Science","First"
97,"CSC509",8,"500",13,"Computer Science","First"
98,"CSC511",5,"500",13,"Computer Science","First"
99,"CSC513",3,"500",13,"Computer Science","First"
100,"CSC515",8,"500",13,"Computer Science","First"
101,"CSC517",3,"500",13,"Computer Science","First"
102,"CSC519",5,"500",13,"Computer Science","First"
103,"CSC502",23,"500",13,"Computer Science","Second"
104,"CSC504",24,"500",13,"Computer Science","Second"
105,"CSC506",24,"500",13,"Computer Science","Second"
106,"CSC508",23,"500",13,"Computer Science","Second"
107,"CSC510",8,"500",13,"Computer Science","Second"
108,"CSC512",19,"500",13,"Computer Science","Second"
109,"CSC514",5,"500",13,"Computer Science","Second"
110,"CSC516",19,"500",13,"Computer Science","Second"
111,"CSC518",6,"500",13,"Computer Science","Second"
112,"CSC520",8,"500",13,"Computer Science","Second"
