course_id,course_code,lecturer_id,level,level_group,semester,slot_id,venue_id,lecturer_qualified,venue_capacity_ok,lecturer_conflict,venue_conflict,level_conflict,weekly_limit
112,MEE508,1,500,15,Second,1,1,1,1,0,0,0,0
112,MEE508,1,500,15,Second,2,1,1,1,0,0,0,0
102,MEE505,1,500,15,First,1,1,1,1,0,0,0,0
102,MEE505,1,500,15,First,2,1,1,1,0,0,0,0
93,CSC501,1,500,13,First,3,1,1,1,0,0,0,0
93,CSC501,1,500,13,First,4,1,1,1,0,0,0,0
94,CSC503,1,500,13,First,5,1,1,1,0,0,0,0
94,CSC503,1,500,13,First,6,1,1,1,0,0,0,0
95,CSC505,1,500,13,First,7,1,1,1,0,0,0,0
95,CSC505,1,500,13,First,8,1,1,1,0,0,0,0
96,CSC507,1,500,13,First,9,1,1,1,0,0,0,0
96,CSC507,1,500,13,First,10,1,1,1,0,0,0,0
97,EEE501,1,500,14,First,11,1,1,1,0,0,0,0
97,EEE501,1,500,14,First,12,1,1,1,0,0,0,0
99,EEE505,1,500,14,First,13,1,1,1,0,0,0,0
99,EEE505,1,500,14,First,14,1,1,1,0,0,0,0
100,MEE501,1,500,15,First,15,1,1,1,0,0,0,0
100,MEE501,1,500,15,First,16,1,1,1,0,0,0,0
101,MEE503,1,500,15,First,17,1,1,1,0,0,0,0
101,MEE503,1,500,15,First,18,1,1,1,0,0,0,0
98,EEE503,1,500,14,First,19,1,1,1,0,0,0,0
98,EEE503,1,500,14,First,20,1,1,1,0,0,0,0
103,CSC502,1,500,13,Second,3,1,1,1,0,0,0,0
103,CSC502,1,500,13,Second,4,1,1,1,0,0,0,0
108,EEE504,1,500,14,Second,5,1,1,1,0,0,0,0
108,EEE504,1,500,14,Second,6,1,1,1,0,0,0,0
104,CSC504,1,500,13,Second,7,1,1,1,0,0,0,0
104,CSC504,1,500,13,Second,8,1,1,1,0,0,0,0
110,MEE502,1,500,15,Second,9,1,1,1,0,0,0,0
110,MEE502,1,500,15,Second,10,1,1,1,0,0,0,0
109,EEE508,1,500,14,Second,11,1,1,1,0,0,0,0
109,EEE508,1,500,14,Second,12,1,1,1,0,0,0,0
111,MEE504,1,500,15,Second,13,1,1,1,0,0,0,0
111,MEE504,1,500,15,Second,14,1,1,1,0,0,0,0
107,EEE502,1,500,14,Second,15,1,1,1,0,0,0,0
107,EEE502,1,500,14,Second,16,1,1,1,0,0,0,0
106,CSC510,1,500,13,Second,17,1,1,1,0,0,0,0
106,CSC510,1,500,13,Second,18,1,1,1,0,0,0,0
105,CSC508,1,500,13,Second,19,1,1,1,0,0,0,0
105,CSC508,1,500,13,Second,20,1,1,1,0,0,0,0
82,CSC410,2,400,11,Second,1,2,1,1,0,0,0,0
82,CSC410,2,400,11,Second,2,2,1,1,0,0,0,0
73,CSC401,2,400,11,First,1,2,1,1,0,0,0,0
73,CSC401,2,400,11,First,2,2,1,1,0,0,0,0
74,CSC403,2,400,11,First,3,2,1,1,0,0,0,0
74,CSC403,2,400,11,First,4,2,1,1,0,0,0,0
75,CSC405,2,400,11,First,5,2,1,1,0,0,0,0
75,CSC405,2,400,11,First,6,2,1,1,0,0,0,0
76,CSC407,2,400,11,First,7,2,1,1,0,0,0,0
76,CSC407,2,400,11,First,8,2,1,1,0,0,0,0
77,CSC409,2,400,11,First,9,2,1,1,0,0,0,0
77,CSC409,2,400,11,First,10,2,1,1,0,0,0,0
78,CSC406,2,400,11,Second,3,2,1,1,0,0,0,0
78,CSC406,2,400,11,Second,4,2,1,1,0,0,0,0
79,CSC408,2,400,11,Second,5,2,1,1,0,0,0,0
79,CSC408,2,400,11,Second,6,2,1,1,0,0,0,0
80,CSC402,2,400,11,Second,7,2,1,1,0,0,0,0
80,CSC402,2,400,11,Second,8,2,1,1,0,0,0,0
81,CSC404,2,400,11,Second,9,2,1,1,0,0,0,0
81,CSC404,2,400,11,Second,10,2,1,1,0,0,0,0
87,EEE405,2,400,12,First,11,2,1,1,0,0,0,0
87,EEE405,2,400,12,First,12,2,1,1,0,0,0,0
83,EEE401,2,400,12,First,13,2,1,1,0,0,0,0
83,EEE401,2,400,12,First,14,2,1,1,0,0,0,0
85,EEE407,2,400,12,First,15,2,1,1,0,0,0,0
85,EEE407,2,400,12,First,16,2,1,1,0,0,0,0
86,EEE409,2,400,12,First,17,2,1,1,0,0,0,0
86,EEE409,2,400,12,First,18,2,1,1,0,0,0,0
88,EEE402,2,400,12,Second,11,2,1,1,0,0,0,0
88,EEE402,2,400,12,Second,12,2,1,1,0,0,0,0
89,EEE406,2,400,12,Second,13,2,1,1,0,0,0,0
89,EEE406,2,400,12,Second,14,2,1,1,0,0,0,0
90,EEE404,2,400,12,Second,15,2,1,1,0,0,0,0
90,EEE404,2,400,12,Second,16,2,1,1,0,0,0,0
91,EEE408,2,400,12,Second,17,2,1,1,0,0,0,0
91,EEE408,2,400,12,Second,18,2,1,1,0,0,0,0
92,EEE410,2,400,12,Second,19,2,1,1,0,0,0,0
92,EEE410,2,400,12,Second,20,2,1,1,0,0,0,0
84,EEE403,2,400,12,First,19,2,1,1,0,0,0,0
84,EEE403,2,400,12,First,20,2,1,1,0,0,0,0
67,MEE307,3,300,10,First,1,3,1,1,0,0,0,0
67,MEE307,3,300,10,First,2,3,1,1,0,0,0,0
63,EEE312,3,300,9,Second,1,3,1,1,0,0,0,0
63,EEE312,3,300,9,Second,2,3,1,1,0,0,0,0
64,EEE308,3,300,9,Second,3,3,1,1,0,0,0,0
64,EEE308,3,300,9,Second,4,3,1,1,0,0,0,0
65,MEE301,3,300,10,First,3,3,1,1,0,0,0,0
65,MEE301,3,300,10,First,4,3,1,1,0,0,0,0
66,MEE303,3,300,10,First,5,3,1,1,0,0,0,0
66,MEE303,3,300,10,First,6,3,1,1,0,0,0,0
72,MEE314,3,300,10,Second,5,3,1,1,0,0,0,0
72,MEE314,3,300,10,Second,6,3,1,1,0,0,0,0
68,MEE309,3,300,10,First,7,3,1,1,0,0,0,0
68,MEE309,3,300,10,First,8,3,1,1,0,0,0,0
69,MEE304,3,300,10,Second,7,3,1,1,0,0,0,0
69,MEE304,3,300,10,Second,8,3,1,1,0,0,0,0
70,MEE308,3,300,10,Second,9,3,1,1,0,0,0,0
70,MEE308,3,300,10,Second,10,3,1,1,0,0,0,0
71,MEE312,3,300,10,Second,11,3,1,1,0,0,0,0
71,MEE312,3,300,10,Second,12,3,1,1,0,0,0,0
61,EEE302,3,300,9,Second,13,3,1,1,0,0,0,0
61,EEE302,3,300,9,Second,14,3,1,1,0,0,0,0
62,EEE304,3,300,9,Second,15,3,1,1,0,0,0,0
62,EEE304,3,300,9,Second,16,3,1,1,0,0,0,0
60,EEE307,3,300,9,First,9,3,1,1,0,0,0,0
60,EEE307,3,300,9,First,10,3,1,1,0,0,0,0
50,CSC303,3,300,8,First,11,3,1,1,0,0,0,0
50,CSC303,3,300,8,First,12,3,1,1,0,0,0,0
59,EEE305,3,300,9,First,13,3,1,1,0,0,0,0
59,EEE305,3,300,9,First,14,3,1,1,0,0,0,0
58,EEE303,3,300,9,First,15,3,1,1,0,0,0,0
58,EEE303,3,300,9,First,16,3,1,1,0,0,0,0
57,EEE301,3,300,9,First,17,3,1,1,0,0,0,0
57,EEE301,3,300,9,First,18,3,1,1,0,0,0,0
56,CSC310,3,300,8,Second,17,3,1,1,0,0,0,0
56,CSC310,3,300,8,Second,18,3,1,1,0,0,0,0
55,CSC306,3,300,8,Second,19,3,1,1,0,0,0,0
