CourseID,LecturerID,LevelText,LevelGroupID,Semester,SlotID,VenueID,LecturerQualified,VenueCapacitySuitable,LecturerAlreadyBooked,VenueAlreadyBooked,LevelAlreadyBooked,TargetSuitable,ConflictsEncountered
112,1,500,15,1,1,1,1,1,0,0,0,1,0
112,1,500,15,1,2,1,1,1,0,0,0,1,0
102,1,500,15,0,1,1,1,1,0,0,0,1,0
102,1,500,15,0,2,1,1,1,0,0,0,1,0
93,6,500,13,0,16,2,1,1,0,0,0,1,0
93,22,500,13,0,15,4,1,1,0,0,0,1,0
94,30,500,13,0,30,5,1,1,0,0,0,1,0
94,30,500,13,0,29,5,1,1,0,0,0,1,0
95,6,500,13,0,14,2,1,1,0,0,0,1,0
95,22,500,13,0,13,4,1,1,0,0,0,1,0
96,27,500,13,0,28,4,1,1,0,0,0,1,0
96,22,500,13,0,12,4,1,1,0,0,0,1,0
97,22,500,14,0,24,5,1,1,0,0,0,1,0
97,22,500,14,0,23,5,1,1,0,0,0,1,0
99,6,500,14,0,10,5,1,1,0,0,0,1,0
99,22,500,14,0,11,2,1,1,0,0,0,1,0
100,29,500,15,0,27,2,1,1,0,0,0,1,0
100,13,500,15,0,26,5,1,1,0,0,0,1,0
101,9,500,15,0,22,3,1,1,0,0,0,1,0
101,9,500,15,0,21,3,1,1,0,0,0,1,0
98,9,500,14,0,8,1,1,1,0,0,0,1,0
98,27,500,14,0,7,3,1,1,0,0,0,1,0
103,6,500,13,1,16,2,1,1,0,0,0,1,0
103,22,500,13,1,15,4,1,1,0,0,0,1,0
108,30,500,14,1,30,5,1,1,0,0,0,1,0
108,30,500,14,1,29,5,1,1,0,0,0,1,0
104,6,500,13,1,14,2,1,1,0,0,0,1,0
104,22,500,13,1,13,4,1,1,0,0,0,1,0
110,27,500,15,1,28,4,1,1,0,0,0,1,0
110,22,500,15,1,12,4,1,1,0,0,0,1,0
109,22,500,14,1,24,5,1,1,0,0,0,1,0
109,22,500,14,1,23,5,1,1,0,0,0,1,0
111,6,500,15,1,10,5,1,1,0,0,0,1,0
111,22,500,15,1,11,2,1,1,0,0,0,1,0
107,29,500,14,1,27,2,1,1,0,0,0,1,0
107,13,500,14,1,26,5,1,1,0,0,0,1,0
106,9,500,13,1,22,3,1,1,0,0,0,1,0
106,9,500,13,1,21,3,1,1,0,0,0,1,0
105,9,500,13,1,8,1,1,1,0,0,0,1,0
105,27,500,13,1,7,3,1,1,0,0,0,1,0
82,2,400,11,1,1,2,1,1,0,0,0,1,0
82,2,400,11,1,2,2,1,1,0,0,0,1,0
73,2,400,11,0,1,2,1,1,0,0,0,1,0
73,2,400,11,0,2,2,1,1,0,0,0,1,0
74,5,400,11,0,16,3,1,1,0,0,0,1,0
74,5,400,11,0,15,5,1,1,0,0,0,1,0
75,29,400,11,0,30,4,1,1,0,0,0,1,0
75,29,400,11,0,29,4,1,1,0,0,0,1,0
76,5,400,11,0,14,3,1,1,0,0,0,1,0
76,5,400,11,0,13,5,1,1,0,0,0,1,0
77,28,400,11,0,28,3,1,1,0,0,0,1,0
77,5,400,11,0,12,5,1,1,0,0,0,1,0
78,5,400,11,1,16,3,1,1,0,0,0,1,0
78,5,400,11,1,15,5,1,1,0,0,0,1,0
79,29,400,11,1,30,4,1,1,0,0,0,1,0
79,29,400,11,1,29,4,1,1,0,0,0,1,0
80,5,400,11,1,14,3,1,1,0,0,0,1,0
80,5,400,11,1,13,5,1,1,0,0,0,1,0
81,28,400,11,1,28,3,1,1,0,0,0,1,0
81,5,400,11,1,12,5,1,1,0,0,0,1,0
87,22,400,12,0,25,2,1,1,0,0,0,1,0
87,30,400,12,0,11,5,1,1,0,0,0,1,0
83,28,400,12,0,27,4,1,1,0,0,0,1,0
83,20,400,12,0,23,2,1,1,0,0,0,1,0
