course_id,course_code,lecturer_id,level,level_group,semester,slot_id,venue_id,lecturer_qualified,venue_capacity_ok,lecturer_conflict,venue_conflict,level_conflict,weekly_limit,LecturerAlreadyBooked,VenueAlreadyBooked,LevelAlreadyBooked,RandomForest_score,predicted_suitable
112,MEE508,1,500,15,Second,1,1,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
112,MEE508,1,500,15,Second,2,1,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
102,MEE505,1,500,15,First,1,1,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
102,MEE505,1,500,15,First,2,1,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
93,CSC501,6,500,13,First,16,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
93,CSC501,22,500,13,First,15,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
94,CSC503,30,500,13,First,30,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
94,CSC503,30,500,13,First,29,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
95,CSC505,6,500,13,First,14,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
95,CSC505,22,500,13,First,13,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
96,CSC507,27,500,13,First,28,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
96,CSC507,22,500,13,First,12,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
97,EEE501,22,500,14,First,24,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
97,EEE501,22,500,14,First,23,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
99,EEE505,6,500,14,First,10,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
99,EEE505,22,500,14,First,11,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
100,MEE501,29,500,15,First,27,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
100,MEE501,13,500,15,First,26,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
101,MEE503,9,500,15,First,22,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
101,MEE503,9,500,15,First,21,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
98,EEE503,9,500,14,First,8,1,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
98,EEE503,27,500,14,First,7,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
103,CSC502,6,500,13,Second,16,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
103,CSC502,22,500,13,Second,15,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
108,EEE504,30,500,14,Second,30,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
108,EEE504,30,500,14,Second,29,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
104,CSC504,6,500,13,Second,14,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
104,CSC504,22,500,13,Second,13,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
110,MEE502,27,500,15,Second,28,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
110,MEE502,22,500,15,Second,12,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
109,EEE508,22,500,14,Second,24,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
109,EEE508,22,500,14,Second,23,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
111,MEE504,6,500,15,Second,10,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
111,MEE504,22,500,15,Second,11,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
107,EEE502,29,500,14,Second,27,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
107,EEE502,13,500,14,Second,26,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
106,CSC510,9,500,13,Second,22,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
106,CSC510,9,500,13,Second,21,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
105,CSC508,9,500,13,Second,8,1,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
105,CSC508,27,500,13,Second,7,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
82,CSC410,2,400,11,Second,1,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
82,CSC410,2,400,11,Second,2,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
73,CSC401,2,400,11,First,1,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
73,CSC401,2,400,11,First,2,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
74,CSC403,5,400,11,First,16,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
74,CSC403,5,400,11,First,15,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
75,CSC405,29,400,11,First,30,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
75,CSC405,29,400,11,First,29,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
76,CSC407,5,400,11,First,14,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
76,CSC407,5,400,11,First,13,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
77,CSC409,28,400,11,First,28,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
77,CSC409,5,400,11,First,12,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
78,CSC406,5,400,11,Second,16,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
78,CSC406,5,400,11,Second,15,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
79,CSC408,29,400,11,Second,30,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
79,CSC408,29,400,11,Second,29,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
80,CSC402,5,400,11,Second,14,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
80,CSC402,5,400,11,Second,13,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
81,CSC404,28,400,11,Second,28,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
81,CSC404,5,400,11,Second,12,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
87,EEE405,22,400,12,First,25,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
87,EEE405,30,400,12,First,11,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
83,EEE401,28,400,12,First,27,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
83,EEE401,20,400,12,First,23,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
85,EEE407,8,400,12,First,9,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
85,EEE407,27,400,12,First,10,1,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
86,EEE409,9,400,12,First,26,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
86,EEE409,18,400,12,First,21,1,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
88,EEE402,22,400,12,Second,25,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
88,EEE402,30,400,12,Second,11,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
89,EEE406,28,400,12,Second,27,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
89,EEE406,20,400,12,Second,23,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
90,EEE404,8,400,12,Second,9,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
90,EEE404,27,400,12,Second,10,1,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
91,EEE408,9,400,12,Second,26,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
91,EEE408,18,400,12,Second,21,1,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
92,EEE410,26,400,12,Second,7,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
92,EEE410,27,400,12,Second,8,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
84,EEE403,26,400,12,First,7,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
84,EEE403,27,400,12,First,8,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
67,MEE307,3,300,10,First,1,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
67,MEE307,3,300,10,First,2,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
63,EEE312,3,300,9,Second,1,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
63,EEE312,3,300,9,Second,2,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
64,EEE308,11,300,9,Second,16,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
64,EEE308,23,300,9,Second,17,1,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
65,MEE301,11,300,10,First,16,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
65,MEE301,23,300,10,First,17,1,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
66,MEE303,28,300,10,First,30,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
66,MEE303,19,300,10,First,15,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
72,MEE314,28,300,10,Second,30,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
72,MEE314,19,300,10,Second,15,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
68,MEE309,3,300,10,First,14,1,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
68,MEE309,19,300,10,First,13,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
69,MEE304,3,300,10,Second,14,1,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
69,MEE304,19,300,10,Second,13,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
70,MEE308,1,300,10,Second,29,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
70,MEE308,19,300,10,Second,12,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
71,MEE312,30,300,10,Second,28,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
71,MEE312,16,300,10,Second,11,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
61,EEE302,27,300,9,Second,27,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
61,EEE302,19,300,9,Second,23,1,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
62,EEE304,18,300,9,Second,9,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
62,EEE304,19,300,9,Second,10,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
60,EEE307,1,300,9,First,29,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
60,EEE307,19,300,9,First,12,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
50,CSC303,30,300,8,First,28,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
50,CSC303,16,300,8,First,11,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
59,EEE305,27,300,9,First,27,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
59,EEE305,19,300,9,First,23,1,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
58,EEE303,18,300,9,First,9,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
58,EEE303,19,300,9,First,10,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
57,EEE301,11,300,9,First,26,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
57,EEE301,24,300,9,First,21,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
56,CSC310,11,300,8,Second,26,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
56,CSC310,24,300,8,Second,21,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
55,CSC306,3,300,8,Second,8,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
55,CSC306,19,300,8,Second,7,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
54,CSC304,11,300,8,Second,25,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
54,CSC304,3,300,8,Second,19,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
53,CSC302,22,300,8,Second,6,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
53,CSC302,6,300,8,Second,5,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
52,CSC309,3,300,8,First,8,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
52,CSC309,19,300,8,First,7,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
51,CSC307,11,300,8,First,25,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
51,CSC307,3,300,8,First,19,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
49,CSC301,22,300,8,First,6,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
49,CSC301,6,300,8,First,5,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
31,EEE201,4,200,5,First,1,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
31,EEE201,4,200,5,First,2,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
30,CSC204,4,200,4,Second,1,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
30,CSC204,4,200,4,Second,2,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
29,CSC206,8,200,4,Second,17,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
29,CSC206,8,200,4,Second,16,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
28,CSC202,31,200,4,Second,30,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
28,CSC202,31,200,4,Second,29,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
27,CSC207,8,200,4,First,17,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
27,CSC207,8,200,4,First,16,4,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
26,CSC203,31,200,4,First,30,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
26,CSC203,31,200,4,First,29,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
25,CSC201,7,200,4,First,15,1,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
25,CSC201,9,200,4,First,14,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
33,EEE203,24,200,5,First,28,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
33,EEE203,7,200,5,First,13,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
32,EEE209,2,200,5,First,25,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
32,EEE209,4,200,5,First,12,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
34,EEE202,7,200,5,Second,15,1,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
34,EEE202,9,200,5,Second,14,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
36,EEE210,24,200,5,Second,28,5,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
36,EEE210,7,200,5,Second,13,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
37,MEE201,25,200,6,First,27,3,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
37,MEE201,7,200,6,First,24,2,1,1,0,0,0,0,0,0,0,0.2038250319284802,1
