CourseID,LecturerID,LevelText,LevelGroupID,Semester,SlotID,VenueID,LecturerQualified,VenueCapacitySuitable,LecturerAlreadyBooked,VenueAlreadyBooked,LevelAlreadyBooked,TargetSuitable,ConflictsEncountered
112,1,500,15,1,1,1,1,1,0,0,0,1,0
112,1,500,15,1,2,1,1,1,0,0,0,1,0
102,1,500,15,0,1,1,1,1,0,0,0,1,0
102,1,500,15,0,2,1,1,1,0,0,0,1,0
93,1,500,13,0,3,1,1,1,0,0,0,1,0
93,1,500,13,0,4,1,1,1,0,0,0,1,0
94,1,500,13,0,5,1,1,1,0,0,0,1,0
94,1,500,13,0,6,1,1,1,0,0,0,1,0
95,1,500,13,0,7,1,1,1,0,0,0,1,0
95,1,500,13,0,8,1,1,1,0,0,0,1,0
96,1,500,13,0,9,1,1,1,0,0,0,1,0
96,1,500,13,0,10,1,1,1,0,0,0,1,0
97,1,500,14,0,11,1,1,1,0,0,0,1,0
97,1,500,14,0,12,1,1,1,0,0,0,1,0
99,1,500,14,0,13,1,1,1,0,0,0,1,0
99,1,500,14,0,14,1,1,1,0,0,0,1,0
100,1,500,15,0,15,1,1,1,0,0,0,1,0
100,1,500,15,0,16,1,1,1,0,0,0,1,0
101,1,500,15,0,17,1,1,1,0,0,0,1,0
101,1,500,15,0,18,1,1,1,0,0,0,1,0
98,1,500,14,0,19,1,1,1,0,0,0,1,0
98,1,500,14,0,20,1,1,1,0,0,0,1,0
103,1,500,13,1,3,1,1,1,0,0,0,1,0
103,1,500,13,1,4,1,1,1,0,0,0,1,0
108,1,500,14,1,5,1,1,1,0,0,0,1,0
108,1,500,14,1,6,1,1,1,0,0,0,1,0
104,1,500,13,1,7,1,1,1,0,0,0,1,0
104,1,500,13,1,8,1,1,1,0,0,0,1,0
110,1,500,15,1,9,1,1,1,0,0,0,1,0
110,1,500,15,1,10,1,1,1,0,0,0,1,0
109,1,500,14,1,11,1,1,1,0,0,0,1,0
109,1,500,14,1,12,1,1,1,0,0,0,1,0
111,1,500,15,1,13,1,1,1,0,0,0,1,0
111,1,500,15,1,14,1,1,1,0,0,0,1,0
107,1,500,14,1,15,1,1,1,0,0,0,1,0
107,1,500,14,1,16,1,1,1,0,0,0,1,0
106,1,500,13,1,17,1,1,1,0,0,0,1,0
106,1,500,13,1,18,1,1,1,0,0,0,1,0
105,1,500,13,1,19,1,1,1,0,0,0,1,0
105,1,500,13,1,20,1,1,1,0,0,0,1,0
82,2,400,11,1,1,2,1,1,0,0,0,1,0
82,2,400,11,1,2,2,1,1,0,0,0,1,0
73,2,400,11,0,1,2,1,1,0,0,0,1,0
73,2,400,11,0,2,2,1,1,0,0,0,1,0
74,2,400,11,0,3,2,1,1,0,0,0,1,0
74,2,400,11,0,4,2,1,1,0,0,0,1,0
75,2,400,11,0,5,2,1,1,0,0,0,1,0
75,2,400,11,0,6,2,1,1,0,0,0,1,0
76,2,400,11,0,7,2,1,1,0,0,0,1,0
76,2,400,11,0,8,2,1,1,0,0,0,1,0
77,2,400,11,0,9,2,1,1,0,0,0,1,0
77,2,400,11,0,10,2,1,1,0,0,0,1,0
78,2,400,11,1,3,2,1,1,0,0,0,1,0
78,2,400,11,1,4,2,1,1,0,0,0,1,0
79,2,400,11,1,5,2,1,1,0,0,0,1,0
79,2,400,11,1,6,2,1,1,0,0,0,1,0
80,2,400,11,1,7,2,1,1,0,0,0,1,0
80,2,400,11,1,8,2,1,1,0,0,0,1,0
81,2,400,11,1,9,2,1,1,0,0,0,1,0
81,2,400,11,1,10,2,1,1,0,0,0,1,0
87,2,400,12,0,11,2,1,1,0,0,0,1,0
87,2,400,12,0,12,2,1,1,0,0,0,1,0
83,2,400,12,0,13,2,1,1,0,0,0,1,0
83,2,400,12,0,14,2,1,1,0,0,0,1,0
