CourseID,CourseCode,LecturerID,LevelText,LevelGroupID,Department,Semester
1,CSC201,1,200,4,Computer Science,First
2,CSC203,2,200,4,Computer Science,First
3,CSC207,3,200,4,Computer Science,First
4,CSC202,4,200,4,Computer Science,Second
5,CSC206,1,200,4,Computer Science,Second
6,CSC204,8,200,4,Computer Science,Second
7,CSC301,6,300,8,Computer Science,First
8,CSC303,8,300,8,Computer Science,First
9,CSC307,7,300,8,Computer Science,First
10,CSC309,4,300,8,Computer Science,First
11,CSC302,5,300,8,Computer Science,Second
12,CSC304,2,300,8,Computer Science,Second
13,CSC306,3,300,8,Computer Science,Second
14,CSC310,1,300,8,Computer Science,Second
15,CSC401,5,400,11,Computer Science,First
16,CSC403,3,400,11,Computer Science,First
17,CSC405,6,400,11,Computer Science,First
18,CSC407,2,400,11,Computer Science,First
19,CSC409,5,400,11,Computer Science,First
20,CSC406,7,400,11,Computer Science,Second
21,CSC408,8,400,11,Computer Science,Second
22,CSC402,5,400,11,Computer Science,Second
23,CSC404,4,400,11,Computer Science,Second
24,CSC410,7,400,11,Computer Science,Second
25,CSC501,3,500,13,Computer Science,First
26,CSC503,2,500,13,Computer Science,First
27,CSC505,6,500,13,Computer Science,First
28,CSC507,7,500,13,Computer Science,First
29,CSC502,6,500,13,Computer Science,Second
30,CSC504,7,500,13,Computer Science,Second
31,CSC508,2,500,13,Computer Science,Second
32,CSC510,3,500,13,Computer Science,Second
