CourseID,CourseCode,LecturerID,LevelText,LevelGroupID,Department,Semester
1,CSC201,1,200,4,Computer Science,First
2,CSC203,2,200,4,Computer Science,First
3,CSC205,3,200,4,Computer Science,First
4,CSC207,4,200,4,Computer Science,Second
5,CSC209,1,200,4,Computer Science,Second
6,CSC206,2,200,4,Computer Science,Second
7,CSC202,8,200,4,Computer Science,Second
8,CSC301,6,300,8,Computer Science,First
9,CSC303,8,300,8,Computer Science,First
10,CSC305,7,300,8,Computer Science,First
11,CSC307,4,300,8,Computer Science,First
12,CSC311,5,300,8,Computer Science,First
13,CSC315,2,300,8,Computer Science,First
14,CSC331,3,300,8,Computer Science,First
15,CSC302,1,300,8,Computer Science,Second
16,CSC304,2,300,8,Computer Science,Second
17,CSC306,5,300,8,Computer Science,Second
18,CSC310,1,300,8,Computer Science,Second
19,CSC312,6,300,8,Computer Science,Second
20,CSC314,3,300,8,Computer Science,Second
21,CSC316,2,300,8,Computer Science,Second
22,FCI300,1,300,8,Computer Science,Second
23,CSC401,5,400,11,Computer Science,First
24,CSC403,3,400,11,Computer Science,First
25,CSC405,6,400,11,Computer Science,First
26,CSC407,2,400,11,Computer Science,First
27,CSC409,5,400,11,Computer Science,First
28,CSC411,7,400,11,Computer Science,First
29,CSC417,8,400,11,Computer Science,First
30,CSC441,5,400,11,Computer Science,First
31,FCI400,4,400,11,Computer Science,Second
32,CSC501,3,500,13,Computer Science,First
33,CSC503,2,500,13,Computer Science,First
34,CSC505,6,500,13,Computer Science,First
35,CSC507,7,500,13,Computer Science,First
36,CSC509,6,500,13,Computer Science,First
37,CSC511,7,500,13,Computer Science,First
38,CSC502,2,500,13,Computer Science,Second
39,CSC504,3,500,13,Computer Science,Second
40,CSC508,3,500,13,Computer Science,Second
41,CSC524,2,500,13,Computer Science,Second
42,CSC526,3,500,13,Computer Science,Second
