SlotID,Day,TimeRange
1,Monday,08:00-09:00
2,Monday,09:00-10:00
3,Monday,10:00-11:00
4,Monday,11:00-12:00
5,Monday,12:00-13:00
6,Monday,13:00-14:00
7,Tuesday,08:00-09:00
8,Tuesday,09:00-10:00
9,Tuesday,10:00-11:00
10,Tuesday,11:00-12:00
11,Tuesday,12:00-13:00
12,Tuesday,13:00-14:00
13,Wednesday,08:00-09:00
14,Wednesday,09:00-10:00
15,Wednesday,10:00-11:00
16,Wednesday,11:00-12:00
17,Wednesday,12:00-13:00
18,Wednesday,13:00-14:00
19,Thursday,08:00-09:00
20,Thursday,09:00-10:00
21,Thursday,10:00-11:00
22,Thursday,11:00-12:00
23,Thursday,12:00-13:00
24,Thursday,13:00-14:00
25,Friday,08:00-09:00
26,Friday,09:00-10:00
27,Friday,10:00-11:00
28,Friday,11:00-12:00
29,Friday,12:00-13:00
30,Friday,13:00-14:00
